[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:57:45,291] Trial 4 finished with value: 0.08446522832609167 and parameters: {'kernel': 'sigmoid', 'C': 74.41584904497037}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:01,639] Trial 5 finished with value: 0.08436720238020076 and parameters: {'kernel': 'sigmoid', 'C': 89.8641840226685}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:15,128] Trial 6 finished with value: 0.053466095814174205 and parameters: {'kernel': 'rbf', 'C': 94.9118490663048}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:21,521] Trial 7 finished with value: 0.05562253236812986 and parameters: {'kernel': 'linear', 'C': 98.85117346780964}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:29,961] Trial 8 finished with value: 0.060129945378934256 and parameters: {'kernel': 'poly', 'C': 74.3299111896629}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:42,788] Trial 9 finished with value: 0.055722608054033285 and parameters: {'kernel': 'rbf', 'C': 79.17547067183817}. Best is trial 4 with value: 0.08446522832609167.
[I 2025-12-05 00:58:57,805] Trial 10 finished with value: 0.08455960113092373 and parameters: {'kernel': 'sigmoid', 'C': 82.04025868880636}. Best is trial 10 with value: 0.08455960113092373.
[I 2025-12-05 00:59:14,089] Trial 11 finished with value: 0.08460908771598122 and parameters: {'kernel': 'sigmoid', 'C': 83.06523072726961}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 00:59:29,947] Trial 12 finished with value: 0.08452804837511507 and parameters: {'kernel': 'sigmoid', 'C': 84.6298313511804}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 00:59:46,229] Trial 13 finished with value: 0.0844670128047819 and parameters: {'kernel': 'sigmoid', 'C': 81.89217921188596}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:00:01,211] Trial 14 finished with value: 0.0845074796306555 and parameters: {'kernel': 'sigmoid', 'C': 86.82466119865755}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:00:17,150] Trial 15 finished with value: 0.08445378477582673 and parameters: {'kernel': 'sigmoid', 'C': 78.81705960693127}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:00:33,308] Trial 16 finished with value: 0.08437471034252933 and parameters: {'kernel': 'sigmoid', 'C': 88.5222607342985}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:00:48,150] Trial 17 finished with value: 0.08454112269856318 and parameters: {'kernel': 'sigmoid', 'C': 80.64949711534298}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:00:55,068] Trial 18 finished with value: 0.055664647333719786 and parameters: {'kernel': 'linear', 'C': 93.09197754480851}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:01:09,360] Trial 19 finished with value: 0.08451987062708036 and parameters: {'kernel': 'sigmoid', 'C': 77.71211995083127}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:01:25,976] Trial 20 finished with value: 0.08450174875940353 and parameters: {'kernel': 'sigmoid', 'C': 84.27257583778834}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:01:41,725] Trial 21 finished with value: 0.0845344799404325 and parameters: {'kernel': 'sigmoid', 'C': 81.63002037365752}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:01:57,331] Trial 22 finished with value: 0.08447020297527552 and parameters: {'kernel': 'sigmoid', 'C': 76.6090542884844}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:02:13,525] Trial 23 finished with value: 0.08455078131131555 and parameters: {'kernel': 'sigmoid', 'C': 81.20604837953564}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:02:31,700] Trial 24 finished with value: 0.08450926594059291 and parameters: {'kernel': 'sigmoid', 'C': 85.37286889627187}. Best is trial 11 with value: 0.08460908771598122.
[I 2025-12-05 01:02:46,375] Trial 25 finished with value: 0.08452722467970716 and parameters: {'kernel': 'sigmoid', 'C': 82.45184907618619}. Best is trial 11 with value: 0.08460908771598122.
