[I 2025-12-02 19:12:30,348] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 19:59:45,434] Trial 1 finished with value: 0.3886889542199797 and parameters: {'iterations': 256, 'learning_rate': 0.12839827107441648, 'depth': 6, 'l2_leaf_reg': 7.4331164301262636, 'border_count': 105, 'bagging_temperature': 0.8287787720456066, 'random_strength': 0.38458403858978607}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:12:08,532] Trial 2 finished with value: 0.3835387768962254 and parameters: {'iterations': 939, 'learning_rate': 0.05360276290106409, 'depth': 10, 'l2_leaf_reg': 6.03098873319856, 'border_count': 219, 'bagging_temperature': 0.06916208903671861, 'random_strength': 0.36579065750146944}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:14:48,310] Trial 3 finished with value: 0.36800356629799647 and parameters: {'iterations': 974, 'learning_rate': 0.2897676955357953, 'depth': 10, 'l2_leaf_reg': 5.161702314222469, 'border_count': 67, 'bagging_temperature': 0.4226203983018597, 'random_strength': 0.8575606481394846}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:14:50,437] Trial 4 finished with value: 0.3866875312197461 and parameters: {'iterations': 274, 'learning_rate': 0.08867472993866121, 'depth': 4, 'l2_leaf_reg': 7.1175872675557255, 'border_count': 176, 'bagging_temperature': 0.1501518693251499, 'random_strength': 0.9271876934163882}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:14:55,437] Trial 5 finished with value: 0.37560937597054217 and parameters: {'iterations': 499, 'learning_rate': 0.2758338969750764, 'depth': 5, 'l2_leaf_reg': 3.6487672743878896, 'border_count': 173, 'bagging_temperature': 0.3677873574374506, 'random_strength': 0.44355713793671303}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:15:01,525] Trial 6 finished with value: 0.3844619910632559 and parameters: {'iterations': 184, 'learning_rate': 0.16813227740862463, 'depth': 8, 'l2_leaf_reg': 9.11424240547501, 'border_count': 94, 'bagging_temperature': 0.6116827180462264, 'random_strength': 0.08314024383354235}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:15:17,098] Trial 7 finished with value: 0.37698778225890095 and parameters: {'iterations': 363, 'learning_rate': 0.2672828409337325, 'depth': 7, 'l2_leaf_reg': 7.725660043417905, 'border_count': 126, 'bagging_temperature': 0.9346633344301485, 'random_strength': 0.38792774437597366}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:15:55,070] Trial 8 finished with value: 0.3779391706273612 and parameters: {'iterations': 421, 'learning_rate': 0.2108944552691234, 'depth': 7, 'l2_leaf_reg': 4.510142180917086, 'border_count': 248, 'bagging_temperature': 0.15308021749247025, 'random_strength': 0.9085296830297517}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:16:19,840] Trial 9 finished with value: 0.3667203584304565 and parameters: {'iterations': 625, 'learning_rate': 0.2585788662106707, 'depth': 9, 'l2_leaf_reg': 3.702106921844247, 'border_count': 61, 'bagging_temperature': 0.6792213729862705, 'random_strength': 0.7159062827441625}. Best is trial 1 with value: 0.3886889542199797.
[I 2025-12-02 20:16:21,363] Trial 10 finished with value: 0.38044852891208336 and parameters: {'iterations': 171, 'learning_rate': 0.10599277490582776, 'depth': 5, 'l2_leaf_reg': 9.913157159873363, 'border_count': 35, 'bagging_temperature': 0.9813821745574299, 'random_strength': 0.6299763788551833}. Best is trial 1 with value: 0.3886889542199797.
