[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:49:09,924] Trial 6 finished with value: 0.339300446253131 and parameters: {'max_depth': 24, 'min_samples_split': 29}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:11,128] Trial 7 finished with value: 0.33984882706573083 and parameters: {'max_depth': 23, 'min_samples_split': 38}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:11,851] Trial 8 finished with value: 0.34941096280162803 and parameters: {'max_depth': 6, 'min_samples_split': 6}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:13,124] Trial 9 finished with value: 0.3366563529160613 and parameters: {'max_depth': 34, 'min_samples_split': 17}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:14,321] Trial 10 finished with value: 0.33996170814011967 and parameters: {'max_depth': 17, 'min_samples_split': 18}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:14,620] Trial 11 finished with value: 0.3491638517863255 and parameters: {'max_depth': 2, 'min_samples_split': 15}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:14,922] Trial 12 finished with value: 0.3491638517863255 and parameters: {'max_depth': 2, 'min_samples_split': 3}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:15,945] Trial 13 finished with value: 0.34219111436920735 and parameters: {'max_depth': 10, 'min_samples_split': 13}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:16,669] Trial 14 finished with value: 0.34894236893311714 and parameters: {'max_depth': 6, 'min_samples_split': 21}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:17,848] Trial 15 finished with value: 0.33919042894001705 and parameters: {'max_depth': 15, 'min_samples_split': 10}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:18,476] Trial 16 finished with value: 0.352427763333709 and parameters: {'max_depth': 5, 'min_samples_split': 37}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:19,626] Trial 17 finished with value: 0.3415908299109232 and parameters: {'max_depth': 15, 'min_samples_split': 38}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:20,356] Trial 18 finished with value: 0.34969016748384985 and parameters: {'max_depth': 6, 'min_samples_split': 37}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:20,653] Trial 19 finished with value: 0.3491638517863255 and parameters: {'max_depth': 2, 'min_samples_split': 43}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:21,846] Trial 20 finished with value: 0.34101956454827803 and parameters: {'max_depth': 17, 'min_samples_split': 22}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:22,568] Trial 21 finished with value: 0.34970018776845846 and parameters: {'max_depth': 6, 'min_samples_split': 35}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:23,458] Trial 22 finished with value: 0.3460754943137165 and parameters: {'max_depth': 8, 'min_samples_split': 34}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:24,573] Trial 23 finished with value: 0.3445534198567003 and parameters: {'max_depth': 13, 'min_samples_split': 44}. Best is trial 16 with value: 0.352427763333709.
[I 2025-11-27 04:49:25,097] Trial 24 finished with value: 0.35478039374769493 and parameters: {'max_depth': 4, 'min_samples_split': 24}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:25,724] Trial 25 finished with value: 0.3524695789865144 and parameters: {'max_depth': 5, 'min_samples_split': 24}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:26,787] Trial 26 finished with value: 0.3439491818911543 and parameters: {'max_depth': 11, 'min_samples_split': 25}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:27,993] Trial 27 finished with value: 0.3395763862720951 and parameters: {'max_depth': 19, 'min_samples_split': 27}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:28,518] Trial 28 finished with value: 0.35478039374769493 and parameters: {'max_depth': 4, 'min_samples_split': 31}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:29,614] Trial 29 finished with value: 0.342965376430291 and parameters: {'max_depth': 12, 'min_samples_split': 33}. Best is trial 24 with value: 0.35478039374769493.
[I 2025-11-27 04:49:31,056] A new study created in memory with name: k_nearest_neighbors_fold_1
[I 2025-11-27 04:49:37,100] Trial 0 finished with value: 0.3627654383061064 and parameters: {'n_neighbors': 36, 'p': 3}. Best is trial 0 with value: 0.3627654383061064.
[I 2025-11-27 04:49:37,515] Trial 1 finished with value: 0.35525004225210466 and parameters: {'n_neighbors': 34, 'p': 1}. Best is trial 0 with value: 0.3627654383061064.
